statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0062-s02,liv2add-0062,21,*dʰ,*dʰengʷʰ-,Neu: *dʰengʷʰ- ‘bedecken; verdunkeln’1 IEW 250,Neubildungen,"Neubildungen:
R(e)-i̯e-Präsens
lit. deñgia, (deñgti) ‘bedecken’",,bedecken,contains-combining-marks
liv2add-0062-s03,liv2add-0062,21,*dʰ,*dʰengʷʰ-,Neu: *dʰengʷʰ- ‘bedecken; verdunkeln’1 IEW 250,Nasalpräsens,"Nasalpräsens
ukr. o-djahnuty ‘bekleiden’4",,bekleiden,
liv2add-0064-s01,liv2add-0064,21,*dʰ,*dʰerh₂-,Neu: ?*dʰerh₂- ‘zerbrechen’¹,Präsens,"Präsens
?*dʰé-dʰorh₂/dʰr̥h₂-
kluw. tatarhandu ‘sollen zerbrechen’²",*dʰé-dʰorh₂/dʰr̥h₂-,sollen zerbrechen,contains-combining-marks; contains-subscript-numerals
liv2add-0064-s02,liv2add-0064,21,*dʰ,*dʰerh₂-,Neu: ?*dʰerh₂- ‘zerbrechen’¹,Iterativ,"Iterativ
?*dʰorh₂-éi̯e-
as. (+) derian ‘schädigen’³",*dʰorh₂-éi̯e-,schädigen,contains-combining-marks; contains-subscript-numerals
liv2add-0065-s01,liv2add-0065,21-22,*dʰ,*dʰeu̯bʰ-,"Neu: ?*dʰeu̯bʰ- ‚einsinken, sich vertiefen‘1",Aorist,"Aorist
?*dʰéu̯bʰ-/dʰubʰ-
[lit. dùbo 'sank ein, wurde hohl'2",*dʰéu̯bʰ-/dʰubʰ-,"sank ein, wurde hohl",contains-combining-marks
liv2add-0065-s02,liv2add-0065,21-22,*dʰ,*dʰeu̯bʰ-,"Neu: ?*dʰeu̯bʰ- ‚einsinken, sich vertiefen‘1",Präsens,"Präsens
?*dʰu-né/n-bʰ- [lit. dumbù, (dùbti) 'einsinken, hohl werden'3",*dʰu-né/n-bʰ-,"einsinken, hohl werden",
liv2add-0065-s03,liv2add-0065,21-22,*dʰ,*dʰeu̯bʰ-,"Neu: ?*dʰeu̯bʰ- ‚einsinken, sich vertiefen‘1",Perfekt,"Perfekt
?*dʰe-dʰóu̯bʰ/dʰubʰ-
[ae. dēaf, dufon 'tauchte(n)'",*dʰe-dʰóu̯bʰ/dʰubʰ-,tauchte(n),contains-combining-marks
liv2add-0065-s04,liv2add-0065,21-22,*dʰ,*dʰeu̯bʰ-,"Neu: ?*dʰeu̯bʰ- ‚einsinken, sich vertiefen‘1",Kausativ,"Kausativ ?*dʰou̯bʰ-éi̯e-
an. (+) deyfa 'eintauchen, taufen'",*dʰou̯bʰ-éi̯e-,"eintauchen, taufen",contains-combining-marks
liv2add-0066-s01,liv2add-0066,22,*dʰ,*dʰei̯Hgʷ-,*dʰei̯Hgʷ- → *dʰi̯eHgʷ-,Präsens,"Präsens
*dʰi̯óHgʷ-/dʰiHgʷ-1a
heth. sāku-/saku- ‘stecken, pflanzen’1b
[lat. fīuō ...",*dʰi̯óHgʷ-/dʰiHgʷ-1a,"stecken, pflanzen",contains-combining-marks
liv2add-0066-s02,liv2add-0066,22,*dʰ,*dʰei̯Hgʷ-,*dʰei̯Hgʷ- → *dʰi̯eHgʷ-,Iterativ,Iterativ zu streichen: Neubildung in lit. dáigyti.,,,
liv2add-0067-s01,liv2add-0067,22-23,*dʰ,*dʰlegʰ-,Neu: ?*dʰlegʰ- ‚berechtigt/verpflichtet sein‘1,Präsens,"Präsens
*dʰlégʰ-/dʰl̥gʰ- [air. -dlig ‘ist berechtigt/verpflichtet’, mbret. (+) dle ‘muss, soll’",*dʰlégʰ-/dʰl̥gʰ-,"ist berechtigt/verpflichtet; muss, soll",contains-combining-marks
liv2add-0067-s02,liv2add-0067,22-23,*dʰ,*dʰlegʰ-,Neu: ?*dʰlegʰ- ‚berechtigt/verpflichtet sein‘1,Aorist,"Aorist
?*dʰlḗgʰ/dʰlégʰ-s-
air. dlicht, ·dlecht ‘war berechtigt/verpflichtet’, Konj. dless-",*dʰlḗgʰ/dʰlégʰ-s-,war berechtigt/verpflichtet,
liv2add-0068-s01,liv2add-0068,23,*dʰ,*dʰrebʰ-,*dʰrebʰ-,Präsens,"Präsens
?*dʰr̥-né/n-bʰ-
gr. *ϑραμβ-3
?[lit. drimbù, (drìbti) ‘(in Flocken) niederfallen, niedertropfen’4",*dʰr̥-né/n-bʰ-; *ϑραμβ-3,"(in Flocken) niederfallen, niedertropfen",contains-greek; contains-combining-marks
liv2add-0069-s01,liv2add-0069,23,*dʰ,*dʰu̯eg-/*dʰu̯egʷ-,Neu: ?*dʰu̯eg-/*dʰu̯egʷ- ‘flattern’1,Präsens,"Präsens
*dʰu̯ég-i̯e-
jav. -δβōžən Yt.14,45 ‘flatterten’2",*dʰu̯ég-i̯e-,flatterten,contains-greek; contains-combining-marks
liv2add-0069-s02,liv2add-0069,23,*dʰ,*dʰu̯eg-/*dʰu̯egʷ-,Neu: ?*dʰu̯eg-/*dʰu̯egʷ- ‘flattern’1,Kausativ,"Kausativ ?*dʰu̯og-éi̯e-
chwar. b-δβ’zy- ‘entfalten, verbreiten’3",*dʰu̯og-éi̯e-,"entfalten, verbreiten",contains-greek; contains-combining-marks
liv2add-0069-s03,liv2add-0069,23,*dʰ,*dʰu̯eg-/*dʰu̯egʷ-,Neu: ?*dʰu̯eg-/*dʰu̯egʷ- ‘flattern’1,Neubildungen,"Neubildungen:
ske-Präsens sogd. wy-δβxs- ‘sich entfalten’, chwar. b-δβxs- ‘sich
verbreiten’",,"sich entfalten; sich
verbreiten",contains-greek
liv2add-0071-s01,liv2add-0071,23,*g̑-,*g̑emH-,"Neu: *g̑emH- ‘zahlen, vergelten’¹",Präsens,"Präsens
?*g̑m̥ H-i̯e-
baktr. ωζι- ‘zu zahlen sein’²",*g̑m̥,zu zahlen sein,contains-greek; contains-combining-marks
