lookup_candidate_pass7	normalized_candidate_pass7	confidence_pass7	greek_nonlatin_class_pass7
*gʷʰ~-	*gʷʰ~-	low	
*gʷʰōr-i-	*gʷʰōr-i-)	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*gʷʰōr-o-	(*gʷʰōr-o-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*g’(c).n(a)bz-	*g’(c).n(a)bz-	medium-repaired	
*g’(u)l!-ihr	*g’(u)l!-ihr	low	
*g’7d-ah:r	*g’7d-ah:r	low	
*g’Td-eno-	*g’Td-eno-	medium-repaired	
*g’Timsai̯	*g’Timsai̯	medium-repaired	
*g’an-	*g’an-	medium-repaired	
*g’em-	*g’em-	medium-repaired	
*g’iehr	*g’iehr	medium-repaired	
*g’ih:rpo-	*g’ih:rpo-	medium-repaired	
*g’johr	*g’johr	medium-repaired	
*g’johr6-	*g’johr6-	medium-repaired	
*g’johrjo-	*g’johrjo-)	medium-repaired	
*g’ol/-	*g’ol/-	medium-repaired	
*g’oll-Irpto-	*g’oll-Irpto-	medium-repaired	
*g’oll-ijo-	*g’oll-ijo-	medium-repaired	
*g’p-	*g’p-	medium-repaired	
*h	(*h	source-layer	
*h	*h	medium-repaired	
*h	*h	source-layer	
*h	?*h	source-layer	
*h!y-os	*h!y-os	low	
*h#Ps-os	*h#Ps-os	low	
*h#f-mon-	*h#f-mon-	low	
*h#i-v-es-	*h#i-v-es-	low	
*h#j-ōpzu	*h#j-ōpzu	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h#k-mon-	*h#k-mon-	low	
*h#k-mqn	*h#k-mqn)	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*h#k-n-o-	*h#k-n-o-)	low	
*h#k-pr-o-	*h#k-pr-o-	low	
*h#k-ti-	*h#k-ti-	low	
*h#kʷ-	*h#kʷ-	low	
*h#mgʰ..es-	*h#mgʰ..es-	low	
*h#nhrcs	*h#nhrcs	low	
*h#r’hrti-s	*h#r’hrti-s	low	
*h#y-s	*h#y-s	low	
*h$1mgʰ-o-tabr	*h$1mgʰ-o-tabr	low	
*h$1mgʰ..o-hfi-o-	*h$1mgʰ..o-hfi-o-	low	
*h$1mgʰ..os-tiP	*h$1mgʰ..os-tiP	low	
*h$1mgʰ..s-ijolabr	*h$1mgʰ..s-ijolabr	low	
*h$lk-er-	*h$lk-er-	low	
*h$ll!s-to-	*h$ll!s-to-	low	
*h$ll!s-tr-on-	*h$ll!s-tr-on-	low	
*h$lus-ah₂-	*h$lus-ah₂-	low	
*h-	*h-	source-layer	
*h..	*h..	source-layer	
*h.J1111gʰ..	*h.J1111gʰ..	medium-repaired	
*h.JOjt-tu-	*h.JOjt-tu-	low	
*h.zep-	*h.zep-	source-layer	
*h.zj-eY-[/]	*h.zj-eY-[/]	source-layer	
*h/	*h/	source-layer	
*h/	*h/)	medium-repaired	
*h/&J-	*h/&J-	source-layer	
*h/(e)d-e-tu-	*h/(e)d-e-tu-	source-layer	
*h//ggʷʰ..qm-ihr	*h//ggʷʰ..qm-ihr	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*h/IlCs-oIlS	*h/IlCs-oIlS	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*h/Jengob-	*h/Jengob-	medium-repaired	
*h/Muro-	*h/Muro-	medium-repaired	
*h/cd-ur-i-	*h/cd-ur-i-	source-layer	
*h/cs-t-oi̯-	*h/cs-t-oi̯-	medium-repaired	
*h/cs-u-	*h/cs-u-	source-layer	
*h/cs-u-Anm	*h/cs-u-Anm	filtered-noise-fragment	
*h/csu-	*h/csu-	source-layer	
*h/d-h/cd-on-	*h/d-h/cd-on-	source-layer	
*h/d-h/ōd-ahr	*h/d-h/ōd-ahr	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h/ed-	*h/ed-	source-layer	
*h/ed-(i)jo-	*h/ed-(i)jo-)	source-layer	
*h/ed-i-	*h/ed-i-	medium-repaired	
*h/ed-ro-	*h/ed-ro-	source-layer	
*h/ed-ti-	*h/ed-ti-	source-layer	
*h/ed-uHno-	*h/ed-uHno-	source-layer	
*h/ed-uJo-	*h/ed-uJo-	source-layer	
*h/ed-ven-	*h/ed-ven-	source-layer	
*h/ed-ver-o-	*h/ed-ver-o-	source-layer	
*h/eh/s-	*h/eh/s-	source-layer	
*h/eh/t1Don-	*h/eh/t1Don-	source-layer	
*h/ehfts	*h/ehfts	source-layer	
*h/ehr(o)s	*h/ehr(o)s	source-layer	
*h/ei̯-o-	*h/ei̯-o-	medium-repaired	
*h/ellS-{o-	*h/ellS-{o-)	low	
*h/ers-	*h/ers-	source-layer	
*h/es-	*h/es-	source-layer	
*h/es-ont-	*h/es-ont-	source-layer	
*h/esbz-r-	*h/esbz-r-	source-layer	
*h/esmit	*h/esmit	source-layer	
*h/e{oi̯-u-	*h/e{oi̯-u-	low	
*h/hrfs-	*h/hrfs-	source-layer	
*h/l!os-el!-	*h/l!os-el!-	low	
*h/lJes-	*h/lJes-	low	
*h/lles-ell-	*h/lles-ell-	medium-repaired	
*h/lpgʷʰ..smen-	*h/lpgʷʰ..smen-	medium-repaired	
*h/oh	*h/oh	source-layer	
*h/oi̯-ui-	*h/oi̯-ui-	medium-repaired	
*h/pcs-u-	*h/pcs-u-	source-layer	
*h/pes-p-os	*h/pes-p-os	source-layer	
*h/pes-p-ōm	*h/pes-p-ōm	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h/pos-u-	*h/pos-u-	source-layer	
*h/regʷ-	*h/regʷ-	medium-repaired	
*h/s-cnt(-s	*h/s-cnt(-s)	source-layer	
*h/s-ent-/*h}s-pt-	*h/s-ent-/*h}s-pt-	low	
*h/s-pt-	*h/s-pt-	source-layer	
*h/su-	*h/su-	source-layer	
*h/su-h/csti-	*h/su-h/csti-	source-layer	
*h/su-hey-is-	*h/su-hey-is-	source-layer	
*h/su-ideu̯-es-	*h/su-ideu̯-es-	medium-repaired	
*h/uS-efl-S	*h/uS-efl-S	low	
*h/us-tp	*h/us-tp	source-layer	
*h/us-u-	*h/us-u-	source-layer	
*h/u̯61es-u-	*h/u̯61es-u-	medium-repaired	
*h/u̯CS-l/-8h₂	*h/u̯CS-l/-8h₂)	low	
*h/u̯cs-Ou̯-S	*h/u̯cs-Ou̯-S	low	
*h/u̯cs-u-	*h/u̯cs-u-	medium-repaired	
*h/u̯csu-	*h/u̯csu-	medium-repaired	
*h/u̯es-ol/-	*h/u̯es-ol/-)	medium-repaired	
*h/u̯es-p-ahr	*h/u̯es-p-ahr	medium-repaired	
*h/u̯esu-	*h/u̯esu-	medium-repaired	
*h/«I-fl-	*h/«I-fl-	source-layer	
*h/ōd-ihr	?*h/ōd-ihr	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h3Il1cjglJ	*h3Il1cjglJ	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*h7/tko-	*h7/tko-	low	
*h7/tko-m	*h7/tko-m	low	
*h7P-indu-	*h7P-indu-	low	
*h7i-	*h7i-	low	
*h7i-cl!-	*h7i-cl!-	low	
*h7i-ep-s	*h7i-ep-s	low	
*h7iu-	*h7iu-	low	
*h7l!es-	*h7l!es-	low	
*h:	?*h:	source-layer	
*h:	*h:	source-layer	
*h:#lj-p-o-	*h:#lj-p-o-	low	
*h:#s-tor<	*h:#s-tor<	low	
*h:/ug-cs	*h:/ug-cs	medium-repaired	
*h:1D1ijb..jo/ah:r	?*h:1D1ijb..jo/ah:r	source-layer	
*h:1D1ijb..ti-	*h:1D1ijb..ti-	source-layer	
*h:1D1ijb..tu-m	*h:1D1ijb..tu-m	filtered-noise-fragment	
*h:1f11e/oi̯gʰ..mo-	*h:1f11e/oi̯gʰ..mo-	medium-repaired	
*h:1f11ei̯gʰ..	*h:1f11ei̯gʰ..	medium-repaired	
*h:1f11ei̯gʰ..men-	*h:1f11ei̯gʰ..men-	medium-repaired	
*h:1f11oi̯gʰ..o-	*h:1f11oi̯gʰ..o-	medium-repaired	
*h:J11cr-/	*h:J11cr-/	source-layer	
*h:J11er-	*h:J11er-	source-layer	
*h:J8Us-s-	?*h:J8Us-s-	low	
*h:J8ps-i-	*h:J8ps-i-	low	
*h:J8ps-os-	*h:J8ps-os-	low	
*h:J8u̯s-os-	*h:J8u̯s-os-	low	
*h:JOkʷ-en-	*h:JOkʷ-en-	low	
*h:JOkʷ6-	*h:JOkʷ6-	low	
*h:JOkʷi-	*h:JOkʷi-	low	
*h:JOkʷja-	*h:JOkʷja-	low	
*h:Jf:-	*h:Jf:-	source-layer	
*h:Jl1er-	*h:Jl1er-	medium-repaired	
*h:Jlihrs-	*h:Jlihrs-	source-layer	
*h:Jtik6·	*h:Jtik6·	source-layer	
*h:POps-no-ließen	*h:POps-no-ließen	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*h:Phrs-t(i)iah₂	*h:Phrs-t(i)iah₂	medium-repaired	
*h:d-u-h~n-ti-	*h:d-u-h~n-ti-	low	
*h:fiO/IS-cno-	*h:fiO/IS-cno-	low	
*h:fiO/IS-miiah₂	*h:fiO/IS-miiah₂	low	
*h:fiO/IS-o-Uhr	*h:fiO/IS-o-Uhr	low	
*h:fiO/IS-rahr	*h:fiO/IS-rahr	low	
*h:fllli-pahr	*h:fllli-pahr	source-layer	
*h:ft)hrs-ei̯ahr	*h:ft)hrs-ei̯ahr	medium-repaired	
*h:i-el!-h:PJ-o-tahr	*h:i-el!-h:PJ-o-tahr	low	
*h:i-el!-s-ōr	*h:i-el!-s-ōr	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h:i-t:l!-h:PJ-ijoiahr	*h:i-t:l!-h:PJ-ijoiahr	low	
*h:i-u-h:J!1-tahr	*h:i-u-h:J!1-tahr	low	
*h:i-u-h:PJ-{l)jes_SI	*h:i-u-h:PJ-{l)jes_SI	low	
*h:i-u-h₃fJ-tuHt-	*h:i-u-h₃fJ-tuHt-	medium-repaired	
*h:l..o)bʰ..ruH-	*h:l..o)bʰ..ruH-	medium-repaired	
*h:l~ph₁/ri-	*h:l~ph₁/ri-	low	
*h:pcl!s-	*h:pcl!s-	low	
*h:}S-u(t:/o)s-	*h:}S-u(t:/o)s-	low	
*h:}SOIJs-a-	*h:}SOIJs-a-	low	
*h:}Seps-t:!o-	*h:}Seps-t:!o-	low	
*h:}Sops-a-	*h:}Sops-a-	low	
*h:}Sus-	*h:}Sus-	low	
*h:}Sus-cnahr	*h:}Sus-cnahr	low	
*h:}Sus-j6/o-	*h:}Sus-j6/o-	low	
*h:}Sus-jo-	*h:}Sus-jo-	low	
*h:}Sus-o-tah₂t-	*h:}Sus-o-tah₂t-	low	
*h:}Sus-onahr	*h:}Sus-onahr	low	
*hA-f-no-	*hA-f-no-	source-layer	
*hA-mon-	*hA-mon-	source-layer	
*hA-pos	*hA-pos	source-layer	
*hAi-u-	*hAi-u-	source-layer	
*hCy-os-	*hCy-os-	medium-repaired	
*hNCS-	*hNCS-	low	
*hOllti-	*hOllti-	source-layer	
*hOllti-(e)hr	*hOllti-(e)hr	source-layer	
*hOllti-ehr	*hOllti-ehr	source-layer	
*hOlltien-h	*hOlltien-h	source-layer	
*hP1cr-	*hP1cr-	source-layer	
*hPJhremo-	*hPJhremo-	low	
*hPlebʰ..i-	*hPlebʰ..i-	medium-repaired	
*h[	*h[	source-layer	
*h[cd-	*h[cd-	source-layer	
*h[d-tó-	*h[d-tó-	medium-repaired	
*haIja-	*haIja-	source-layer	
*hah₁lOS	*hah₁lOS	low	
*hai-nó-	*hai-nó-	medium-repaired	
*halll10s	*halll10s	source-layer	
*hamara-	*hamara-	source-layer	
*hap-n-	*hap-n-	source-layer	
*harja-m	*harja-m	medium-repaired	
*harjan-	*harjan-	source-layer	
*harwa-	*harwa-	source-layer	
*hd-do-	*hd-do-	source-layer	
*hd-en-	*hd-en-	source-layer	
*hd-en-hr	*hd-en-hr	source-layer	
*hd-t:I!-.qvno-	*hd-t:I!-.qvno-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hd-t:l!-h:PJ-i-k	*hd-t:l!-h:PJ-i-k	low	
*hd-u-h:PJ-k-is-on-	*hd-u-h:PJ-k-is-on-	low	
*hd-u-h₃fJ-tu-	*hd-u-h₃fJ-tu-	medium-repaired	
*hdel!-o-	*hdel!-o-	low	
*hdenhrter-	*hdenhrter-	source-layer	
*hdeu-s	*hdeu-s	source-layer	
*he/oll-t-	*he/oll-t-	source-layer	
*hedzu	*hedzu	source-layer	
*heg-	*heg-	source-layer	
*hei̯-	*hei̯-	medium-repaired	
*heli-h₁ōn-	*heli-h₁ōn-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hemena-	*hemena-	source-layer	
*her	*her	medium-repaired	
*herman-	*herman-	source-layer	
*herta-	*herta-	source-layer	
*hertan-	*hertan-	source-layer	
*heu-mōn-	*heu-mōn-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hf...a)n-är-(J)io-	?*hf...a)n-är-(J)io-	filtered-noise-fragment	
*hfflelPtom	*hfflelPtom	source-layer	
*hfiO/IS-	*hfiO/IS-	low	
*hfiOlIS-O-genannt	*hfiOlIS-O-genannt	low	
*hfitir-	*hfitir-	source-layer	
*hflei̯g-	*hflei̯g-	medium-repaired	
*hflhrs-	*hflhrs-	source-layer	
*hflp-i-	*hflp-i-	source-layer	
*hfrsgʰ..ahr	?*hfrsgʰ..ahr	medium-repaired	
*hft/co-	*hft/co-	source-layer	
*hftP-l~	*hftP-l~	low	
*hftk-	(*hftk-	source-layer	
*hftter-h.r	*hftter-h.r	source-layer	
*hftter-s-	*hftter-s-	medium-repaired	
*hi	*hi	source-layer	
*hi	*hi	medium-repaired	
*hi-dʰmen-	*hi-dʰmen-	medium-repaired	
*hi-t-	*hi-t-	source-layer	
*hi-t-es-	*hi-t-es-	source-layer	
*hia)rg-u-ro-	*hia)rg-u-ro-	source-layer	
*hicshrrln-	*hicshrrln-	source-layer	
*hid-	*hid-	medium-repaired	
*hiemi	*hiemi	source-layer	
*hiengʷʰ..	*hiengʷʰ..	medium-repaired	
*hieshrrln-	*hieshrrln-	source-layer	
*himii	*himii	source-layer	
*hiomem	*hiomem	source-layer	
*hj	*hj	source-layer	
*hjC.igʰ..	*hjC.igʰ..	medium-repaired	
*hjJbruH-	*hjJbruH-	source-layer	
*hjOhrs-(i)jo-	*hjOhrs-(i)jo-	source-layer	
*hjOhrs-ahr	*hjOhrs-ahr	source-layer	
*hjOhrs-tolahr	*hjOhrs-tolahr	source-layer	
*hjOkʷ-i-	*hjOkʷ-i-	medium-repaired	
*hjOlI-i-k-ihr	*hjOlI-i-k-ihr	source-layer	
*hjO~-men	*hjO~-men	low	
*hjcd-p-o-	*hjcd-p-o-	source-layer	
*hjcd-pol-ön-	?*hjcd-pol-ön-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hjcd-vol-u-	*hjcd-vol-u-	source-layer	
*hjclq	*hjclq	source-layer	
*hjcr-ei̯-nahr	*hjcr-ei̯-nahr	medium-repaired	
*hjeJ.Heteroklitikon	*hjeJ.Heteroklitikon	source-layer	
*hjed-u-ro-	?*hjed-u-ro-	source-layer	
*hjed-un-ahr	*hjed-un-ahr	source-layer	
*hjed-un-o-	?*hjed-un-o-	source-layer	
*hjed-yol-	?*hjed-yol-	source-layer	
*hjei̯-	*hjei̯-	medium-repaired	
*hjelōr-ei̯-o-	?*hjelōr-ei̯-o-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hjer-i-bʰo-	*hjer-i-bʰo-	medium-repaired	
*hjer-i-nihr	?*hjer-i-nihr	source-layer	
*hjer-j-et-	*hjer-j-et-	source-layer	
*hjer-o-	?*hjer-o-	source-layer	
*hjer-o-	*hjer-o-	source-layer	
*hjn-Heteroklisie	*hjn-Heteroklisie	source-layer	
*hjoo_yol	*hjoo_yol	medium-repaired	
*hjro-men-	*hjro-men-	source-layer	
*hjro-men-ijo/iiah₂lit	*hjro-men-ijo/iiah₂lit	medium-repaired	
*hjro-ponP	*hjro-ponP	source-layer	
*hju-	*hju-	source-layer	
*hoh	*hoh	source-layer	
*hol/ti-hit:	*hol/ti-hit:	source-layer	
*hp(a)us-elanolahr	*hp(a)us-elanolahr	source-layer	
*hp-e19tom	*hp-e19tom	low	
*hp-hpom	*hp-hpom)	medium-repaired	
*hplcr-	*hplcr-	source-layer	
*hpp-bʰruH-	*hpp-bʰruH-	medium-repaired	
*hptBbei	*hptBbei	source-layer	
*hptel-nabr	*hptel-nabr	source-layer	
*hpter-	*hpter-	source-layer	
*hpter-inahr	*hpter-inahr	source-layer	
*hpter-on-ahr	*hpter-on-ahr	source-layer	
*hpus-	*hpus-	source-layer	
*hpus-dh~-	*hpus-dh~-	low	
*hpus-nahr	*hpus-nahr	source-layer	
*hr	*hr)	source-layer	
*hr	*hr	source-layer	
*hrCWB-	*hrCWB-	low	
*hrCwa-in	*hrCwa-in	source-layer	
*hrFärbung	*hrFärbung	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hrKontexten	*hrKontexten	source-layer	
*hrStamm	*hrStamm	low	
*hrawa-	*hrawa-	source-layer	
*hrc!oJo-	*hrc!oJo-	low	
*hrefcuo-tero-	*hrefcuo-tero-	source-layer	
*hrekl/ahr	*hrekl/ahr	source-layer	
*hrekl/ahr	*hrekl/ahr)	medium-repaired	
*hrexV-ei̯o-	*hrexV-ei̯o-	medium-repaired	
*hrexV-ino-	*hrexV-ino-	source-layer	
*hrexv-iHno-1JJ	*hrexv-iHno-1JJ	low	
*hrexyo-	*hrexyo-	source-layer	
*hrlJrbʰ(-i}-	*hrlJrbʰ(-i}-	low	
*hrt-ijo-	*hrt-ijo-	source-layer	
*htCd-IIon-	*htCd-IIon-)	low	
*htcd-IIon-	*htcd-IIon-	low	
*htlgʰ...	*htlgʰ...	medium-repaired	
"*hu""-eV-s-"	"*hu""-eV-s-"	source-layer	
"*hu""-ev-s-en-"	"(*hu""-ev-s-en-)"	source-layer	
"*hu""eu̯s-er’inside"	"*hu""eu̯s-er’inside"	medium-repaired	
*hu-m-ont-l*hu-m-f/t-	*hu-m-ont-l*hu-m-f/t-	source-layer	
*hu-ti-	*hu-ti-	source-layer	
*hu.oh/(e)s-	(*hu.oh/(e)s-	source-layer	
*huJjJa-	*huJjJa-	source-layer	
*huas	*huas	medium-repaired	
*huftd’in	*huftd’in	medium-repaired	
*hunda-	*hunda-	source-layer	
*huus	*huus	source-layer	
*huzdō-	*huzdō-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hweita-	*hweita-	source-layer	
*h}SteJ-nah₂	*h}SteJ-nah₂	low	
*h}Ster-fhr	*h}Ster-fhr	low	
*h}Ster-ihrn-rps	*h}Ster-ihrn-rps	low	
*h}Sttr-	*h}Sttr-	low	
*h}cd-es-	*h}cd-es-	low	
*h}ed-ahr	*h}ed-ahr	low	
*h}ei̯-Vthfl-	*h}ei̯-Vthfl-	low	
*h}ei̯-tiHon-	*h}ei̯-tiHon-	low	
*h}em-	*h}em-	low	
*h}es-u-	*h}es-u-	low	
*h}t:j-u-	*h}t:j-u-	low	
*h}uahr	*h}uahr	low	
*h}uahrno-	*h}uahrno-	low	
*h}uhra/ono-	*h}uhra/ono-	low	
*h}uhrn-	*h}uhrn-	low	
*h}uhrno-	*h}uhrno-	low	
*h}yhras-dʰhro-	*h}yhras-dʰhro-	low	
*h~-	*h~-	low	
*h~-V-iiah₂	(*h~-V-iiah₂)	low	
*h~-mon	*h~-mon	low	
*h~-t:II-n	*h~-t:II-n	low	
*h~-ti-	*h~-ti-	low	
*h~-ti-h:J11-o-	*h~-ti-h:J11-o-	low	
*h~-to-	*h~-to-	low	
*h~-u-	*h~-u-	low	
*h~..en-esfort	*h~..en-esfort	low	
*h~D-Jfn-	*h~D-Jfn-)	low	
*h~JcI’	*h~JcI’	low	
*h~a)g-ti-sub	*h~a)g-ti-sub	filtered-noise-fragment	
*h~bruH-	*h~bruH-	low	
*h~e)s-u-	*h~e)s-u-	low	
*h~e)su.’gut’ist	*h~e)su.’gut’ist	low	
*h~g-	*h~g-	low	
*h~j-r(av	*h~j-r(av	low	
*h~kʷ-	*h~kʷ-	low	
*h~kʷ-ih₁	*h~kʷ-ih₁	low	
*h~l!s-os-	*h~l!s-os-	low	
*h~la-	*h~la-	low	
*h~mbʰi(:	*h~mbʰi(:	low	
*h~n-	*h~n-	low	
*h~n-Ifn-	*h~n-Ifn-)	low	
*h~n-J(/n-	*h~n-J(/n-)	low	
*h~n-ri	*h~n-ri	low	
*h~nH4.e]h₂0	(*h~nH4.e]h₂0	low	
*h~nbfl-S	*h~nbfl-S	low	
*h~nbr	*h~nbr	low	
*h~nhr	*h~nhr	low	
*h~os-	*h~os-	low	
*h~r-	*h~r-	low	
*h~rmo-	*h~rmo-	low	
*h~s-	*h~s-	low	
*h~s-ahr	*h~s-ahr	low	
*h~tör	*h~tör	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hÖS-l~	*hÖS-l~	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hßCys-	*hßCys-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hßOu̯s{J)jo-	*hßOu̯s{J)jo-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hßUg-es-	*hßUg-es-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hßUg{J)jes-	*hßUg{J)jes-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hßan-rtn-	*hßan-rtn-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hßrbʰ..o-	*hßrbʰ..o-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hßt~r-	*hßt~r-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*hßug-e/on-	*hßug-e/on-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hßug-men-n	*hßug-men-n	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hß}kʷ-i-	*hß}kʷ-i-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*hßōu̯s-no-	*hßōu̯s-no-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hārzu	*hārzu	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hāwi-	*hāwi-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*hūzda-	*hūzda-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h₁	*h₁	medium-repaired	
*h₁/3Ch:	*h₁/3Ch:	medium-repaired	
*h₁11t:s-	*h₁11t:s-	medium-repaired	
*h₁5U-	*h₁5U-	low	
*h₁8.j-(	*h₁8.j-(	low	
*h₁8k-cn-i-	?*h₁8k-cn-i-	low	
*h₁Cjgʰ..	*h₁Cjgʰ..	medium-repaired	
*h₁Cr-i-stjo-	*h₁Cr-i-stjo-	medium-repaired	
*h₁Cs-u-	?*h₁Cs-u-	medium-repaired	
*h₁Cs-u-m	*h₁Cs-u-m	medium-repaired	
*h₁I6ng~b..i(	*h₁I6ng~b..i(	low	
*h₁J6ng~b..i-	*h₁J6ng~b..i-	low	
*h₁Jepdʰ..er-iio-	*h₁Jepdʰ..er-iio-	medium-repaired	
*h₁M-es-ijo-	*h₁M-es-ijo-	medium-repaired	
*h₁M-s-l(i)jo-	*h₁M-s-l(i)jo-	medium-repaired	
*h₁SCllS	*h₁SCllS	low	
*h₁Uers-	*h₁Uers-	medium-repaired	
*h₁Ves-U	*h₁Ves-U	medium-repaired	
*h₁WH-i-?	*h₁WH-i-?)	low	
*h₁[h₃-ahr	?*h₁[h₃-ahr	medium-repaired	
*h₁ai̯-	*h₁ai̯-	medium-repaired	
*h₁bpbʰihr	*h₁bpbʰihr	medium-repaired	
*h₁cd-o-m	*h₁cd-o-m	medium-repaired	
*h₁cd-s-ahr	*h₁cd-s-ahr	medium-repaired	
*h₁cd-s-kahr	*h₁cd-s-kahr	medium-repaired	
*h₁cd-s-mahr	*h₁cd-s-mahr	medium-repaired	
*h₁cd-s-nahr	*h₁cd-s-nahr	medium-repaired	
*h₁cs-	*h₁cs-	medium-repaired	
*h₁cuda-	*h₁cuda-	medium-repaired	
*h₁cupa-	*h₁cupa-	medium-repaired	
*h₁e/oi̯-mo	?*h₁e/oi̯-mo	medium-repaired	
*h₁ed-	*h₁ed-	medium-repaired	
*h₁ed-o-	*h₁ed-o-	medium-repaired	
*h₁ed-on}S	*h₁ed-on}S	low	
*h₁ed-r-ahr	*h₁ed-r-ahr	medium-repaired	
*h₁ed-u-	*h₁ed-u-	medium-repaired	
*h₁ei̯-	*h₁ei̯-	medium-repaired	
*h₁ei̯-es-	?*h₁ei̯-es-	medium-repaired	
*h₁ei̯-ga-	*h₁ei̯-ga-	medium-repaired	
*h₁ei̯-men-ah₂-	*h₁ei̯-men-ah₂-	medium-repaired	
*h₁ei̯-sm-(i)jah₂-	*h₁ei̯-sm-(i)jah₂-	medium-repaired	
*h₁ei̯-smah₂-	*h₁ei̯-smah₂-	medium-repaired	
*h₁ei̯-smo-	?*h₁ei̯-smo-	medium-repaired	
*h₁ei̯-ti-sub	*h₁ei̯-ti-sub	medium-repaired	
*h₁ei̯-tlj-ōn-	?*h₁ei̯-tlj-ōn-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*h₁ei̯_tlj_ah₂	?*h₁ei̯_tlj_ah₂	medium-repaired	
*h₁ek-	?*h₁ek-	medium-repaired	
*h₁eljs-	(*h₁eljs-	medium-repaired	
*h₁em-	*h₁em-	medium-repaired	
*h₁ens/-ih₁en-	*h₁ens/-ih₁en-	medium-repaired	
*h₁er-	*h₁er-	medium-repaired	
*h₁er-s-	*h₁er-s-	medium-repaired	
*h₁erbʰ..	*h₁erbʰ..	medium-repaired	
*h₁ers-	*h₁ers-	medium-repaired	
*h₁ers-ahr	*h₁ers-ahr	medium-repaired	
*h₁es-dʰlo-m’that	*h₁es-dʰlo-m’that	medium-repaired	
*h₁es-u-J-	*h₁es-u-J-	medium-repaired	
*h₁esu-	*h₁esu-	medium-repaired	
*h₁esus	*h₁esus	medium-repaired	
*h₁eus-is-	?*h₁eus-is-	medium-repaired	
*h₁fgʷmon-	*h₁fgʷmon-	medium-repaired	
*h₁i-t-iah₂	*h₁i-t-iah₂	medium-repaired	
*h₁i-terfn-	*h₁i-terfn-	medium-repaired	
*h₁i-torfn	*h₁i-torfn	medium-repaired	
*h₁i-tr-en(-)o-	*h₁i-tr-en(-)o-	medium-repaired	
*h₁i-trof	?*h₁i-trof	medium-repaired	
*h₁iida-z.B	*h₁iida-z.B	medium-repaired	
*h₁isu-	*h₁isu-	medium-repaired	
*h₁l!cjs-	*h₁l!cjs-	low	
*h₁l!isu-	*h₁l!isu-	low	
*h₁l5kʷ-s	*h₁l5kʷ-s	low	
*h₁lIehr	*h₁lIehr	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*h₁lJes-u-ment-	*h₁lJes-u-ment-	low	
*h₁lU1hr	*h₁lU1hr	medium-repaired	
*h₁lUlhr	*h₁lUlhr	medium-repaired	
*h₁le(h)ir	*h₁le(h)ir	medium-repaired	
*h₁lengVIJ...	*h₁lengVIJ...	low	
*h₁li/oyg-o/abz-	*h₁li/oyg-o/abz-	medium-repaired	
*h₁lig-tor-	*h₁lig-tor-	medium-repaired	
*h₁lir-os-der	*h₁lir-os-der	medium-repaired	
*h₁llCrH-llCS	?*h₁llCrH-llCS	low	
*h₁llCrH-{J)jes	*h₁llCrH-{J)jes	low	
