example_id,pdf_page,split_file,heading,text
5.9,417,06-chapter-5-phonology.md,"5.4.1 (Nearly) Pan-Balkan Features: Vowels With respect to vowels, the features in (5.9a–f) figure prominently in discussions of","(5.9)        Convergences involving vowels\na. A five-vowel (sub)system of i – e – a – o – u in each language [EA, HS, EB, JF, PA,\nIS, UH] (drawing on Havránek 1933)\nb. No length opposition in vowels [EA, HS, EB, JF, PA, SD, IS, UH] (drawing on\nHavránek 1933)\nc. No rounded/unrounded opposition in high front vowels [EA, HS, JF, PA, IS]\nd. No oral/nasal opposition in vowels [EA, HS, EB, JF, PA, IS, UH]\ne. No diphthongs (except in Romanian) [JF]\nf. Existence of an (accented) (mid-)central (unrounded), i.e., schwa-like, vowel\n[FM, HS, EB, JF, PA, SD, IS, UH]\ng. Vowel reduction in unaccented syllables, with consequent alternations between\naccented and unaccented forms [FM, KS, EA, EB, JF, PA, IS, UH]"
5.10,432,06-chapter-5-phonology.md,"5.4.2 (Nearly) Pan-Balkan Features: Consonants With regard to consonants, the following have been proposed (5.10), though it","(5.10)      Convergences involving consonants\na. Weakening/lenition (especially of voiced stops)                              [HS, EB, IS]\nb. Palatalization of velars (and sometimes dentals), especially before\nfront vowels, thus giving hard and soft velars (or dorso-palatals or [EA, EB; JF,\npalatals)                                                                   IS]\nc. Many common consonant phonemes in all languages: p/b, t/d, k/g, f/v, s/z, m, n, l,\nr, j [EA, JF]\nd. “Hissing” / “hushing” opposition (roughly: apico-dental / alveo- [JF]\npalatal) in fricatives and affricates, i.e.: s/š, ts/č, and so also for voiced\ne. Presence of at least two members of the set c č ć (using a Slavistically based\nnotation) [JF (citing Ivić 1968), discussion in IS]\nf. /n/ – > [ŋ] /__k/g (allophonically) [JF]\ng. Presence of h (x in some languages), with fronted allophones before front vowels\n[HS 131, JF, PA]\nh. Rarity of geminate consonants (except across morpheme boundaries)                 [JF, IS]"
5.10e,437,06-chapter-5-phonology.md,"5.4.2.6 Possible Contact Bases For the most part, the features listed in (5.10) are ones that are conceivably brought",(5.10e) would suggest.
5.11,451,06-chapter-5-phonology.md,"5.4.4.1 NT > ND (Grk, Aro, Alb) [FM, KS102-3, EA 109, HS131, EB51,","(5.11):88\n(5.11)       a. Greek:            πέντε ([pende]) ‘five’ (earlier πέντε ([pente]))\nάγκυρα ([aŋgira]) ‘anchor’ (earlier ἄγκῡρα ([aŋkyra]))\nτον πατέρα ([tom batera]) ‘the father.acc’ (earlier τὸν πατέρα\n([... np ...]))\nb. Albanian:         këndoj ‘sing’ (from Latin cantō)\nngarkoj ‘burden’ (from presumed Latin *incar(r)icare; cf. carruca\n‘travelling carriage’ and note also shkarkoj ‘unload’ from\npresumed Latin *excar(r)icare)\nngujoj ‘shut and secure’ (cf. Rmn încuia ‘lock up’)\nngathem ‘benumb’ (cf. shkathem ‘become energetic’)\nc. Aromanian:        fândână ‘well, shaft’ (cf. Rmn fântână ‘idem’)\nmblătescu ‘I weave’ (cf. Rmn împletescu ‘idem’)\nmângare ‘eating’ (cf. Rmn mîncare ‘idem’)"
5.12,506,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.12)      a. vodeníčar-ot ‘the miller’ (cf. vodéničar ‘miller’)\nb. vodeničári-te ‘the millers’ (cf. vodeníčari ‘millers’)\n(5.13)      a. dónesi ‘bring!’\nb. donési_go ‘bring it!’\nc. donesí_mi_go ‘bring me it’ (but also donési_mi_go by analogy with b)
5.14,508,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.14)          όνομα ‘name’        / όνομά του        ‘his name’\nhis
5.15,508,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.15)      a. βλέπετε ‘See!’                      /   βλέπετέ τον           ‘See him!’\nimpv.pl                                impv.pl him\nb. βλέποντας ‘while-seeing’            /   βλέποντάς τον         ‘while seeing him’\nvbl.adv                                        him
5.16,508,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.16)          έρχουμάστι       ‘we come’ (cf. StModGrk ερχόμαστε)\n1pl
5.17,509,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.17)          víkamé       go      ‘We call him’\ncall.1pl     him
5.18,509,06-chapter-5-phonology.md,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",(5.18)          ne      gó       poznávam        ‘I don’t know him’\nneg     him      know.1sg
