category	form	line	pdf_page	source_page	context
greek	μέλανες	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
greek	σπεῖσαι	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
greek	σπένδειν	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
greek	ἑλοῦσι	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
greek	ἑλόντες	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
greek	πᾶσα	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
greek	πάντες	2117	pdf-124	108	mélanes μέλανες etc.) b. /spénd-sa-i/ ‘to pour a libation’ →spénsai →spê:sai σπεῖσαι (cf. spénde:n σπένδειν ‘to be pouring a libation, to pour libations [repeatedly]’) c. /hel-ónt-si/ ‘to those who have caught’ (dat. pl.) →helónsi →helô:si ἑλοῦσι (cf. helóntes ἑλόντες ‘those who have caught’ [nom. p
slash_phonemic	/mélan-s/	2120	pdf-124	108	(6)       a. /mélan-s/ ‘black (nom. sg. masc.)’ →méla:s μέλας (cf. nom. pl. masc.
greek	μέλας	2120	pdf-124	108	(6)       a. /mélan-s/ ‘black (nom. sg. masc.)’ →méla:s μέλας (cf. nom. pl. masc.
reconstructed_star	*Figure	2125	pdf-125	109	**Figure 6.3 Second compensatory lengthening in Ancient Greek**
