section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
I. Protoforms,A. Proto-Indo-European,,*dʰeh₁-,16; 46-7 (parad.); 33; 185; 219; 104; 173; 182; 167; 42; 168; 183; 217; 243,"16, 46-7 (parad.); *dʰédʰeh₁- ~ *dʰédʰh₁- 33, 185, 219; */dʰédʰeh₁m/ (*-ēm) 104, 173, 182; *dʰédʰeh₁s 182; *dʰédʰeh₁t 167, 173, 182; *dʰédʰeh₁ti 42; *dʰédʰh₁n̥d 168, 173, 183, 217, 243; *dʰéh₁t 42","*dʰeh₁- 16, 46-7 (parad.); *dʰédʰeh₁- ~ *dʰédʰh₁- 33, 185, 219; */dʰédʰeh₁m/ (*-ēm) 104, 173, 182; *dʰédʰeh₁s 182; *dʰédʰeh₁t 167, 173, 182; *dʰédʰeh₁ti 42; *dʰédʰh₁n̥d 168, 173, 183, 217, 243; *dʰéh₁t 42",165,171
I. Protoforms,A. Proto-Indo-European,,*dʰéh₁ti- ~ *dʰh₁téy-,58; 90; 121; 197 (partial parad.),"58, 90, 121, 197 (partial parad.)","*dʰéh₁ti- ~ *dʰh₁téy- 58, 90, 121, 197 (partial parad.)",172,173
I. Protoforms,A. Proto-Indo-European,,*dʰóh₁i- ~ *dʰh₁i-,13; 185,"13, 185","*dʰóh₁i- ~ *dʰh₁i- 13, 185",174,174
I. Protoforms,A. Proto-Indo-European,,*dʰóh₁mos,16; 91; 121; 172,"16, 91, 121, 172","*dʰóh₁mos 16, 91, 121, 172",175,175
I. Protoforms,A. Proto-Indo-European,,*dʰéwbus ~ *dʰubéw-,75; 118; 139,"75, 118, 139","*dʰéwbus ~ *dʰubéw- 75, 118, 139",176,176
I. Protoforms,A. Proto-Indo-European,,*dʰubrós,75; 118,"75, 118","*dʰubrós 75, 118",177,177
I. Protoforms,A. Proto-Indo-European,,"*dʰéwgʰti, *dʰedʰówgʰe",178,178,"*dʰéwgʰti, *dʰedʰówgʰe 178",178,178
I. Protoforms,A. Proto-Indo-European,,"*dʰéyǵʰ- ~ *dʰiǵʰ-, [*dʰigʰe/o-]",199-200,199-200,"*dʰéyǵʰ- ~ *dʰiǵʰ-, [*dʰigʰe/o-] 199-200",179,179
I. Protoforms,A. Proto-Indo-European,,*-dʰh₂ué,39; 28,39 with fn. 28,*-dʰh₂ué 39 with fn. 28,180,180
I. Protoforms,A. Proto-Indo-European,,*-dʰí,39,39,*-dʰí 39,181,181
I. Protoforms,A. Proto-Indo-European,,"*-dʰlo-, *-dʰro-",74,74,"*-dʰlo-, *-dʰro- 74",182,182
